方案,簇号,簇名,岗位数,占比(%),薪资中位数(元),薪资P25-P75,经验众数,学历众数,主导大类,大类分布,特征技能(lift Top10),高频技能Top8,主要岗位,主要城市
K=5（对照）,0,软件测试（信号测试、安全测试）,1453,16.44,10500,8500-13500,3-5年,本科,软件测试,软件测试 100%,信号测试、安全测试、appium、可靠性测试、canoe、测试开发,qe(253)、功能测试(229)、性能测试(191)、python(167)、qc(163)、qa(153)、excel(99)、全面质量管理体系(97),质量工程师、测试工程师、品质工程师、品质经理、品质主管、软件测试工程师,苏州(360)、宁波(222)、厦门(201)、嘉兴(179)
K=5（对照）,3,算法/人工智能（erp项目、数仓开发）,1191,13.48,14500,10500-20000,3-5年,本科,算法/人工智能,算法/人工智能 37%、前端开发 18%、嵌入式/硬件 18%,erp项目、数仓开发、web前端、angular、智能驾驶、国内市场,python(437)、深度学习(191)、java(189)、linux(180)、vue(172)、javascript(136)、pytorch(130)、sql(129),嵌入式软件工程师、算法工程师、前端开发工程师、全栈开发工程师、嵌入式软件开发工程师、数据分析师,苏州(409)、厦门(196)、福州(182)、宁波(136)
K=5（对照）,2,后端开发（hibernate、linux开发）,906,10.25,13500,10500-16500,3-5年,本科,后端开发,后端开发 100%,hibernate、linux开发、webform、struts、机器人开发、web开发,java(498)、mysql(440)、sql(272)、python(262)、redis(237)、javascript(226)、spring(208)、mybatis(190),软件工程师、java开发工程师、Java开发工程师、软件开发工程师、后端开发工程师、上位机软件开发工程师,苏州(314)、厦门(161)、福州(151)、宁波(145)
K=5（对照）,4,运维/云与网络（分布式电站、空调工程）,740,8.37,8000,6500-10500,1-3年,大专,运维/云与网络,运维/云与网络 100%,分布式电站、空调工程、光伏系统运维、污水、电站、高压电工证,linux(142)、系统运维(111)、sql(78)、python(77)、mysql(75)、java(66)、服务器运维(59)、网络运维(57),运维工程师、网络工程师、实施工程师、桌面运维工程师、软件实施工程师、驻场运维工程师,苏州(212)、福州(150)、厦门(115)、宁波(75)
二阶细分：簇0 → K=8,0,制造业质量/检验（图文平台、性能检测）,3119,68.61,10000,7000-14000,1-3年,本科,其他/未细分,其他/未细分 56%、销售/运营/客服 19%、质量检验 13%,图文平台、性能检测、微信公众号、华南大区、十三薪、企业官网,qe(72)、linux(52)、全面质量管理体系(51)、java(49)、性能测试(48)、软件it服务(43)、网络运维(40)、系统运维(36),质量经理、质量主管、新媒体运营、跨境电商运营、工艺工程师、DQE工程师,苏州(521)、嘉兴(322)、福州(321)、湖州(314)
二阶细分：簇0 → K=8,3,供应链/物料/采购（物料管理、海外供应链）,619,13.62,8500,6000-11875,1-3年,本科,其他/未细分,其他/未细分 45%、销售/运营/客服 29%、生产/工艺/计划 17%,物料管理、海外供应链、excel、招商采购、高压、调薪,excel(619)、python(39)、sql(29)、数据统计(26)、生产物料管理(20)、销售数据分析(16)、财务审计税务(14)、生产计划管理(14),成本会计、生产文员、销售助理、会计、统计员、财务分析,苏州(89)、厦门(74)、嘉兴(71)、泉州(61)
二阶细分：簇0 → K=8,2,硬件/仪器/自动化（组态软件、scratch）,223,4.91,12000,8500-17000,1-3年,本科,其他/未细分,其他/未细分 85%、电子/半导体/设备 11%、销售/运营/客服 3%,组态软件、scratch、flask、光学仪器、镜头、光模块,python(223)、java(60)、linux(37)、sql(29)、shell(19)、cplusplus(15)、人工智能(13)、docker(13),自动化工程师、IT工程师、AI工程师、生物信息工程师、采销经营分析（base总部）、光学工程师,苏州(58)、福州(48)、厦门(39)、宁波(32)
二阶细分：簇0 → K=8,6,质量检验（qa、qc）,200,4.4,11750,8500-15500,3-5年,大专,质量检验,质量检验 67%、其他/未细分 32%、销售/运营/客服 0%,qa、qc、七大手法、来料检验(iqc)、制程检验(ipqc)、qe,qc(156)、qa(125)、qe(56)、来料检验(iqc)(42)、制程检验(ipqc)(24)、全面质量管理体系(17)、七大手法(4)、成品检验(fqc)(4),质量经理、质量主管、食品品控经理、品控专员、QC工程师、质量总监,福州(35)、苏州(27)、泉州(25)、厦门(20)
二阶细分：簇0 → K=8,1,数据/统计分析（数据建模、统计学）,123,2.71,9000,6500-14750,3-5年,本科,其他/未细分,其他/未细分 67%、销售/运营/客服 16%、生产/工艺/计划 12%,数据建模、统计学、数据挖掘、临床数据分析、数据治理、车间统计,统计学(123)、excel(45)、python(30)、sql(29)、数据统计(8)、数据治理(7)、tableau(7)、数据可视化(6),统计员、生产统计员、驻外会计、中台数据专员、数据治理岗(J14946)、数据开发,苏州(24)、厦门(20)、福州(19)、宁波(16)
二阶细分：簇0 → K=8,5,Java/后端（spring、mybatis）,121,2.66,12000,8500-16000,3-5年,本科,其他/未细分,其他/未细分 95%、销售/运营/客服 3%、生产/工艺/计划 1%,spring、mybatis、redis、rabbitmq、mysql、后端开发,mysql(102)、java(88)、sql(71)、python(38)、javascript(33)、redis(29)、微服务(24)、linux(24),软件研发工程师、数据开发、软件技术专业骨干教师、系统架构师、开发实习、软件开发主管,苏州(33)、厦门(27)、福州(18)、宁波(17)
二阶细分：簇0 → K=8,4,电子/半导体/设备（测试、自动化设计）,77,1.69,11500,8500-13500,1-3年,本科,电子/半导体/设备,电子/半导体/设备 84%、其他/未细分 14%、生产/工艺/计划 1%,测试、自动化设计、设计、安装调试、电机、控制器,测试(76)、设计(41)、安装调试(35)、自动化设计(14)、plc设计(13)、维修保养(12)、研发(11)、性能测试(5),电气工程师、机械工程师、plc电气设计工程师、电子技术员、电气调试工程师、机械设计,湖州(18)、苏州(15)、泉州(8)、嘉兴(8)
二阶细分：簇0 → K=8,7,算法/AI 应用（tensorflow、vit）,64,1.41,18750,12500-26000,3-5年,本科,其他/未细分,其他/未细分 94%、电子/半导体/设备 3%、生产/工艺/计划 2%,tensorflow、vit、pytorch、深度学习、大模型算法、图像算法,python(57)、深度学习(55)、pytorch(44)、机器学习(42)、tensorflow(33)、java(19)、大模型算法(12)、linux(9),AI工程师、研发工程师、AI开发平台研发工程师、高级AI工程师、智能体研发工程师、AI平台项目研发工程师,福州(14)、嘉兴(13)、厦门(11)、苏州(11)
