模式,问题,类型,P@5,R@5,溯源正确率,Top1,说明
纯语义（全库）,企业最常要求几年经验？,经验学历结论,0.2,1.0,0.2,经验结论,期望来源/内容含「图2」；命中 1 个
纯语义（全库）,学历门槛最高的是哪一类岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
纯语义（全库）,大专学历的简历能覆盖多少比例的岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
纯语义（全库）,有没有要求硕士以上的岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
纯语义（全库）,经验要求和学历要求之间有什么关系？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图2」；命中 1 个
纯语义（全库）,市场上最热门的技能是什么？,技能结论,0.2,1.0,0.2,技能结论,期望来源/内容含「图3」；命中 1 个
纯语义（全库）,招人最多的公司是哪几家？,企业结论,0.2,1.0,0.2,企业结论,期望来源/内容含「图6」；命中 1 个
纯语义（全库）,哪些公司回复求职者比较积极？,活跃度结论,0.2,1.0,0.2,活跃度结论,期望来源/内容含「图10」；命中 1 个
纯语义（全库）,这批岗位主要分布在哪些省份和城市？,地域结论,0.2,1.0,0.2,地域结论,期望来源/内容含「图8」；命中 1 个
纯语义（全库）,岗位可以分成哪几类？,聚类结论,0.2,1.0,0.2,匹配结论,期望来源/内容含「岗位聚类说明」；命中 1 个
纯语义（全库）,算法类岗位的薪资中位数是多少？,聚类结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「岗位聚类说明」；命中 1 个
纯语义（全库）,质量检验类岗位大概有多少个？,聚类结论,0.2,1.0,0.2,经验结论,期望来源/内容含「岗位聚类说明」；命中 1 个
纯语义（全库）,人岗匹配分是怎么算的？,匹配口径,0.4,1.0,0.4,匹配结论,期望来源/内容含「人岗匹配文档」；命中 2 个
纯语义（全库）,匹配系统给一份简历打分要多久？,匹配口径,0.4,1.0,0.4,匹配结论,期望来源/内容含「人岗匹配文档」；命中 2 个
纯语义（全库）,评分模型和匹配规则哪个更好？,多模型对比,0.2,1.0,0.2,多模型对比结论,期望来源/内容含「多模型对比分析报告」；命中 1 个
分类型路由,厦门有哪些 Java 开发岗位？,岗位检索,1.0,1.0,1.0,Java开发工程师（ERP业务）,真值岗位 218 个；返回中命中 5 个
分类型路由,苏州招不招前端开发？,岗位检索,1.0,1.0,1.0,苏州前端开发工程师（银行项目）,真值岗位 240 个；返回中命中 5 个
分类型路由,福州有没有软件测试岗位？,岗位检索,1.0,1.0,1.0,软件测试实习生,真值岗位 359 个；返回中命中 5 个
分类型路由,宁波的运维岗位多吗？,岗位检索,1.0,1.0,1.0,运维工程师,真值岗位 166 个；返回中命中 5 个
分类型路由,泉州有数据分析相关的岗位吗？,岗位检索,0.8,0.8,0.8,数据分析师（pmc方向）,真值岗位 261 个；返回中命中 4 个
分类型路由,嘉兴招质量工程师吗？,岗位检索,1.0,1.0,1.0,质量工程师助理,真值岗位 367 个；返回中命中 5 个
分类型路由,滁州有没有 Python 岗位？,岗位检索,0.0,0.0,0.0,Java,真值岗位 5 个；返回中命中 0 个
分类型路由,安庆招嵌入式开发吗？,岗位检索,0.0,0.0,0.0,高级嵌入式软件开发工程师[福州],真值岗位 0 个；返回中命中 0 个
分类型路由,漳州有算法岗位吗？,岗位检索,0.0,0.0,0.0,感知算法工程师,真值岗位 4 个；返回中命中 0 个
分类型路由,南平招大专学历的测试岗吗？,岗位检索,0.0,0.0,0.0,软件测试（定向培养）,真值岗位 6 个；返回中命中 0 个
分类型路由,这批岗位的月薪中位数是多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
分类型路由,薪资是用中位数还是平均数描述更合适？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
分类型路由,工作年限涨薪幅度大概多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图5」；命中 1 个
分类型路由,哪些城市的薪资水平更高？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图5」；命中 1 个
分类型路由,岗位薪资的 P25 到 P75 区间是多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
分类型路由,企业最常要求几年经验？,经验学历结论,0.2,1.0,0.2,经验结论,期望来源/内容含「图2」；命中 1 个
分类型路由,学历门槛最高的是哪一类岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
分类型路由,大专学历的简历能覆盖多少比例的岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
分类型路由,有没有要求硕士以上的岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
分类型路由,经验要求和学历要求之间有什么关系？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图2」；命中 1 个
分类型路由,市场上最热门的技能是什么？,技能结论,0.2,1.0,0.2,技能结论,期望来源/内容含「图3」；命中 1 个
分类型路由,招人最多的公司是哪几家？,企业结论,0.2,1.0,0.2,企业结论,期望来源/内容含「图6」；命中 1 个
分类型路由,哪些公司回复求职者比较积极？,活跃度结论,0.2,1.0,0.2,活跃度结论,期望来源/内容含「图10」；命中 1 个
分类型路由,这批岗位主要分布在哪些省份和城市？,地域结论,0.2,1.0,0.2,地域结论,期望来源/内容含「图8」；命中 1 个
分类型路由,岗位可以分成哪几类？,聚类结论,0.2,1.0,0.2,匹配结论,期望来源/内容含「岗位聚类说明」；命中 1 个
分类型路由,算法类岗位的薪资中位数是多少？,聚类结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「岗位聚类说明」；命中 1 个
分类型路由,质量检验类岗位大概有多少个？,聚类结论,0.2,1.0,0.2,经验结论,期望来源/内容含「岗位聚类说明」；命中 1 个
分类型路由,人岗匹配分是怎么算的？,匹配口径,0.4,1.0,0.4,匹配结论,期望来源/内容含「人岗匹配文档」；命中 2 个
分类型路由,匹配系统给一份简历打分要多久？,匹配口径,0.4,1.0,0.4,匹配结论,期望来源/内容含「人岗匹配文档」；命中 2 个
分类型路由,评分模型和匹配规则哪个更好？,多模型对比,0.2,1.0,0.2,多模型对比结论,期望来源/内容含「多模型对比分析报告」；命中 1 个
路由+城市过滤,厦门有哪些 Java 开发岗位？,岗位检索,1.0,1.0,1.0,Java开发工程师（ERP业务）,真值岗位 218 个；返回中命中 5 个
路由+城市过滤,苏州招不招前端开发？,岗位检索,1.0,1.0,1.0,苏州前端开发工程师（银行项目）,真值岗位 240 个；返回中命中 5 个
路由+城市过滤,福州有没有软件测试岗位？,岗位检索,1.0,1.0,1.0,软件测试实习生,真值岗位 359 个；返回中命中 5 个
路由+城市过滤,宁波的运维岗位多吗？,岗位检索,1.0,1.0,1.0,运维工程师,真值岗位 166 个；返回中命中 5 个
路由+城市过滤,泉州有数据分析相关的岗位吗？,岗位检索,0.8,0.8,0.8,数据分析师（pmc方向）,真值岗位 261 个；返回中命中 4 个
路由+城市过滤,嘉兴招质量工程师吗？,岗位检索,1.0,1.0,1.0,质量工程师助理,真值岗位 367 个；返回中命中 5 个
路由+城市过滤,滁州有没有 Python 岗位？,岗位检索,0.0,0.0,0.0,Java,真值岗位 5 个；返回中命中 0 个
路由+城市过滤,安庆招嵌入式开发吗？,岗位检索,0.0,0.0,0.0,AI应用开发工程师,真值岗位 0 个；返回中命中 0 个
路由+城市过滤,漳州有算法岗位吗？,岗位检索,0.0,0.0,0.0,数据分析师,真值岗位 4 个；返回中命中 0 个
路由+城市过滤,南平招大专学历的测试岗吗？,岗位检索,0.4,0.4,0.5,实习生（福建）(J10688),真值岗位 6 个；返回中命中 2 个
路由+城市过滤,这批岗位的月薪中位数是多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
路由+城市过滤,薪资是用中位数还是平均数描述更合适？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
路由+城市过滤,工作年限涨薪幅度大概多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图5」；命中 1 个
路由+城市过滤,哪些城市的薪资水平更高？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图5」；命中 1 个
路由+城市过滤,岗位薪资的 P25 到 P75 区间是多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
路由+城市过滤,企业最常要求几年经验？,经验学历结论,0.2,1.0,0.2,经验结论,期望来源/内容含「图2」；命中 1 个
路由+城市过滤,学历门槛最高的是哪一类岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
路由+城市过滤,大专学历的简历能覆盖多少比例的岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
路由+城市过滤,有没有要求硕士以上的岗位？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图4」；命中 1 个
路由+城市过滤,经验要求和学历要求之间有什么关系？,经验学历结论,0.2,1.0,0.2,学历结论,期望来源/内容含「图2」；命中 1 个
路由+城市过滤,市场上最热门的技能是什么？,技能结论,0.2,1.0,0.2,技能结论,期望来源/内容含「图3」；命中 1 个
路由+城市过滤,招人最多的公司是哪几家？,企业结论,0.2,1.0,0.2,企业结论,期望来源/内容含「图6」；命中 1 个
路由+城市过滤,哪些公司回复求职者比较积极？,活跃度结论,0.2,1.0,0.2,活跃度结论,期望来源/内容含「图10」；命中 1 个
路由+城市过滤,这批岗位主要分布在哪些省份和城市？,地域结论,0.2,1.0,0.2,地域结论,期望来源/内容含「图8」；命中 1 个
路由+城市过滤,岗位可以分成哪几类？,聚类结论,0.2,1.0,0.2,匹配结论,期望来源/内容含「岗位聚类说明」；命中 1 个
路由+城市过滤,算法类岗位的薪资中位数是多少？,聚类结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「岗位聚类说明」；命中 1 个
路由+城市过滤,质量检验类岗位大概有多少个？,聚类结论,0.2,1.0,0.2,经验结论,期望来源/内容含「岗位聚类说明」；命中 1 个
路由+城市过滤,人岗匹配分是怎么算的？,匹配口径,0.4,1.0,0.4,匹配结论,期望来源/内容含「人岗匹配文档」；命中 2 个
路由+城市过滤,匹配系统给一份简历打分要多久？,匹配口径,0.4,1.0,0.4,匹配结论,期望来源/内容含「人岗匹配文档」；命中 2 个
路由+城市过滤,评分模型和匹配规则哪个更好？,多模型对比,0.2,1.0,0.2,多模型对比结论,期望来源/内容含「多模型对比分析报告」；命中 1 个
